,Sales_ID,name,year,selling_price,km_driven,Region,State or Province,City,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats,sold
1913,1972,Honda,2004,198000,110000,East,New York,Ossining,Petrol,Individual,Manual,Third_Owner,12.8,1493,100.0,13.1kgm@ 4600rpm,5,Y
1950,2010,Maruti,2004,55000,50000,South,Florida,Port Charlotte,Petrol,Individual,Manual,Third_Owner,16.1,796,37.0,59Nm@ 2500rpm,4,Y
1455,1503,Maruti,2004,45000,77000,Central,Iowa,West Des Moines,Petrol,Individual,Manual,Third_Owner,16.1,796,37.0,59Nm@ 2500rpm,4,Y
1839,1894,Hyundai,2004,170000,160000,Central,Texas,Lancaster,Diesel,Individual,Manual,Third_Owner,13.1,1493,82.0,187Nm@ 2500rpm,5,Y
1871,1927,Maruti,2004,31504,110000,South,Florida,Ocoee,Petrol,Individual,Manual,Third_Owner,16.1,796,37.0,59Nm@ 2500rpm,4,Y
427,442,Maruti,2004,81000,80000,East,District of Columbia,Washington,Petrol,Individual,Manual,Second_Owner,16.1,796,37.0,59Nm@ 2500rpm,4,Y
1832,1887,Maruti,2004,118000,60000,Central,Indiana,Marion,Petrol,Individual,Manual,Second_Owner,19.7,796,46.3,62Nm@ 3000rpm,5,Y
1196,1235,Tata,2004,55000,90000,East,New York,Troy,Diesel,Individual,Manual,Third_Owner,16.8,1405,62.0,"12.5@ 2,500(kgm@ rpm)",5,Y
1250,1289,Maruti,2004,60000,113000,Central,Wisconsin,Watertown,Petrol,Individual,Manual,Second_Owner,19.7,796,46.3,62Nm@ 3000rpm,5,Y
701,722,Hyundai,2004,80000,120000,West,California,Los Angeles,Petrol,Individual,Manual,Second_Owner,13.2,1495,94.0,"12.5@ 3,500(kgm@ rpm)",5,Y
609,629,Honda,2004,275000,100000,Central,Texas,Houston,Petrol,Individual,Automatic,Second_Owner,9.0,2997,218.0,196Nm@ 5000rpm,5,Y
1762,1817,Mercedes,2005,800000,120005,Central,Texas,Brownsville,Diesel,Individual,Automatic,Second_Owner,11.0,2987,198.5,"46.5@ 1,400-2,800(kgm@ rpm)",5,Y
1131,1163,Maruti,2005,80000,40000,East,Maine,Brunswick,Petrol,Individual,Manual,Second_Owner,19.7,796,46.3,62Nm@ 3000rpm,5,Y
1278,1317,Maruti,2005,150000,150000,West,California,Los Gatos,Petrol,Individual,Manual,Third_Owner,18.9,998,67.1,90Nm@ 3500rpm,5,Y
1130,1162,Maruti,2005,90000,40000,East,New Jersey,Willingboro,Petrol,Individual,Manual,Second_Owner,19.7,796,46.3,62Nm@ 3000rpm,5,Y
734,760,Maruti,2005,85000,150000,East,New York,New York City,Petrol,Individual,Manual,Second_Owner,19.7,796,46.3,62Nm@ 3000rpm,5,Y
11,12,Maruti,2005,92000,100000,Central,Texas,Houston,Petrol,Individual,Manual,Second_Owner,17.3,993,60.0,78Nm@ 4500rpm,5,Y
1914,1974,Maruti,2005,130000,140000,East,New York,Ossining,Petrol,Individual,Manual,Second_Owner,18.9,998,67.1,90Nm@ 3500rpm,5,Y
292,303,Maruti,2005,90000,99361,East,New York,New York City,Petrol,Individual,Manual,Second_Owner,19.7,796,46.3,62Nm@ 3000rpm,5,Y
1207,1246,Hyundai,2005,95000,120000,East,New York,Troy,Petrol,Individual,Manual,Fourth_Above_Owner,15.3,1341,83.0,115Nm@ 3200rpm,5,Y
324,338,Maruti,2005,85000,80000,Central,Texas,Dallas,Petrol,Individual,Manual,Fourth_Above_Owner,19.7,796,46.3,62Nm@ 3000rpm,5,Y
1965,2025,Tata,2005,90000,74000,South,Florida,Port Charlotte,Petrol,Individual,Manual,Second_Owner,12.8,1396,85.0,"12@ 3,500(kgm@ rpm)",5,Y
330,344,Maruti,2005,89000,90000,West,Washington,Seattle,Petrol,Individual,Manual,Second_Owner,18.9,998,67.1,90Nm@ 3500rpm,5,Y
1846,1901,Toyota,2005,300000,185000,Central,Texas,Lancaster,Diesel,Individual,Manual,Second_Owner,11.4,2494,100.6,200Nm@ 1400-3400rpm,7,Y
1841,1896,Hyundai,2005,100000,100000,Central,Texas,Laredo,Diesel,Individual,Manual,Third_Owner,13.1,1493,82.0,187Nm@ 2500rpm,5,Y
274,285,Maruti,2005,110000,45000,South,North Carolina,Charlotte,Petrol,Individual,Manual,Second_Owner,19.7,796,46.3,62Nm@ 3000rpm,5,Y
352,366,Maruti,2005,65000,35000,West,California,Los Angeles,Petrol,Individual,Manual,First_Owner,18.9,998,67.1,90Nm@ 3500rpm,5,Y
1228,1267,Maruti,2005,95000,70000,West,Oregon,Troutdale,Petrol,Individual,Manual,Third_Owner,19.7,796,46.3,62Nm@ 3000rpm,5,Y
380,395,Toyota,2005,250000,240000,West,Washington,Seattle,Diesel,Individual,Manual,Third_Owner,12.8,2494,102.0,20.4@ 1400-3400(kgm@ rpm),8,Y
947,976,Hyundai,2005,65000,85000,Central,Illinois,Chicago,Petrol,Individual,Manual,First_Owner,15.3,1341,83.0,115Nm@ 3200rpm,5,Y
185,192,Maruti,2005,85000,90000,South,Georgia,Atlanta,Petrol,Individual,Manual,First_Owner,17.3,993,60.0,78Nm@ 4500rpm,5,Y
1507,1556,Maruti,2005,90000,100000,East,New Hampshire,Hampton,Petrol,Individual,Manual,Fourth_Above_Owner,19.7,796,46.3,62Nm@ 3000rpm,5,Y
178,185,Honda,2005,100000,120000,East,Pennsylvania,Philadelphia,Petrol,Individual,Manual,Second_Owner,13.0,1493,100.0,13.1kgm@ 4600rpm,5,Y
189,196,Hyundai,2005,65000,86000,South,Georgia,Atlanta,Petrol,Individual,Manual,First_Owner,15.3,1341,83.0,115Nm@ 3200rpm,5,Y
1349,1393,Mahindra,2005,250000,80000,South,Georgia,Augusta,Diesel,Individual,Manual,First_Owner,13.6,2523,63.0,180 Nm at 1440-1500rpm,7,Y
1563,1612,Maruti,2005,180000,49455,East,Ohio,Hilliard,Petrol,Individual,Manual,First_Owner,19.7,796,46.3,62Nm@ 3000rpm,5,Y
757,785,Mahindra,2006,220000,120000,East,New York,New York City,Diesel,Individual,Manual,Second_Owner,10.5,2179,120.0,290Nm@ 1800-2800rpm,8,Y
914,943,Maruti,2006,120000,141000,East,Massachusetts,Boston,Petrol,Individual,Manual,Second_Owner,17.3,993,60.0,78Nm@ 4500rpm,5,Y
1840,1895,Mahindra,2006,250000,120000,Central,Texas,Lancaster,Diesel,Individual,Manual,Third_Owner,10.5,2179,120.0,290Nm@ 1800-2800rpm,8,Y
1225,1264,Hyundai,2006,81000,100000,South,Florida,Tampa,Petrol,Individual,Manual,Fourth_Above_Owner,15.3,1341,83.0,115Nm@ 3200rpm,5,Y
1221,1260,Hyundai,2006,90000,100000,South,Florida,Tamarac,Petrol,Individual,Manual,Third_Owner,15.3,1341,83.0,115Nm@ 3200rpm,5,Y
1410,1457,Honda,2006,93150,80000,Central,Kansas,Leavenworth,Petrol,Individual,Manual,Second_Owner,17.7,1497,78.0,"12.7@ 2,700(kgm@ rpm)",5,Y
1441,1488,Maruti,2006,160000,90000,East,New York,Dix Hills,Petrol,Individual,Manual,First_Owner,19.7,796,46.3,62Nm@ 3000rpm,5,Y
1184,1223,Maruti,2006,100000,40000,East,Pennsylvania,Greensburg,Petrol,Individual,Manual,First_Owner,19.7,796,46.3,62Nm@ 3000rpm,5,Y
1433,1480,Hyundai,2006,155000,110000,East,New York,Deer Park,Diesel,Individual,Manual,Fourth_Above_Owner,14.9,1991,112.2,"25@ 1,800-2,800(kgm@ rpm)",5,Y
1837,1892,Maruti,2006,150000,100000,Central,Indiana,Lawrence,Petrol,Individual,Manual,Second_Owner,19.7,796,46.3,62Nm@ 3000rpm,5,Y
964,994,Tata,2006,100000,120000,East,New York,New York City,Diesel,Individual,Manual,Third_Owner,16.1,1405,70.0,"13.5@ 2,500(kgm@ rpm)",5,Y
1617,1668,Tata,2006,110000,88000,Central,Texas,San Marcos,Diesel,Individual,Manual,Second_Owner,16.8,1405,62.0,"12.5@ 2,500(kgm@ rpm)",5,Y
735,761,Tata,2006,67500,110000,East,New York,New York City,Diesel,Individual,Manual,Fourth_Above_Owner,17.88,1396,52.8,85Nm@ 2500rpm,5,Y
1156,1191,Mahindra,2006,229999,80000,South,Tennessee,Collierville,Diesel,Individual,Manual,Second_Owner,10.5,2179,120.0,290Nm@ 1800-2800rpm,7,Y
722,746,Tata,2006,85000,120000,East,Massachusetts,Boston,Diesel,Individual,Manual,Third_Owner,16.8,1405,68.0,"13@ 2,500(kgm@ rpm)",5,Y
1835,1890,Maruti,2006,120000,120000,Central,Indiana,Lafayette,Petrol,Individual,Manual,Fourth_Above_Owner,19.7,796,46.3,62Nm@ 3000rpm,5,Y
975,1005,Hyundai,2006,170000,110000,South,Georgia,Atlanta,Petrol,Individual,Manual,Fourth_Above_Owner,13.9,1599,103.2,"14.9@ 3,000(kgm@ rpm)",5,Y
1244,1283,Ford,2006,140000,60000,Central,Michigan,Dearborn Heights,Petrol,Individual,Manual,Second_Owner,16.6,1388,68.0,"16.3@ 2,000(kgm@ rpm)",5,Y
1192,1231,Chevrolet,2006,190000,94000,Central,Wisconsin,Fitchburg,Petrol,Individual,Manual,Second_Owner,17.4,1599,104.0,148Nm@ 3500rpm,5,Y
1279,1318,Maruti,2006,75000,60000,West,California,Los Gatos,Petrol,Individual,Automatic,First_Owner,18.9,998,67.1,90Nm@ 3500rpm,5,Y
869,898,Honda,2006,165000,110000,East,District of Columbia,Washington,Petrol,Individual,Manual,Second_Owner,17.7,1497,78.0,"12.7@ 2,700(kgm@ rpm)",5,Y
2,3,Honda,2006,158000,140000,Central,Illinois,Chicago,Petrol,Individual,Manual,Third_Owner,17.7,1497,78.0,"12.7@ 2,700(kgm@ rpm)",5,Y
299,311,Maruti,2006,81000,80000,East,Massachusetts,Boston,Petrol,Individual,Manual,First_Owner,16.1,796,37.0,59Nm@ 2500rpm,4,Y
1453,1501,Hyundai,2007,135000,100000,Central,Iowa,Urbandale,Petrol,Individual,Manual,Second_Owner,19.81,1086,68.05,99.04Nm@ 4500rpm,5,Y
1226,1265,Maruti,2007,170000,78000,West,Oregon,Troutdale,Petrol,Individual,Manual,Second_Owner,16.1,1298,88.2,"11.5@ 4,500(kgm@ rpm)",5,Y
1613,1664,Mahindra,2007,175000,99000,Central,Texas,San Marcos,Diesel,Individual,Manual,Second_Owner,19.2,1461,65.0,"16@ 2,000(kgm@ rpm)",5,Y
1608,1659,Maruti,2007,105000,90000,West,Washington,Parkland,LPG,Individual,Manual,Second_Owner,17.3,1061,57.5,"7.8@ 4,500(kgm@ rpm)",5,Y
1175,1212,Maruti,2007,160000,120000,South,Alabama,Madison,Petrol,Individual,Manual,Second_Owner,15.0,1586,104.68,"145@ 4,100(kgm@ rpm)",5,Y
696,717,Honda,2007,325000,70000,Central,Illinois,Chicago,Petrol,Individual,Automatic,Second_Owner,10.1,2354,152.0,215Nm@ 3600rpm,5,Y
1246,1285,Mahindra,2007,229999,120000,East,New York,Bethpage,Diesel,Individual,Manual,Third_Owner,10.5,2609,120.0,290Nm@ 1800-2800rpm,7,Y
520,537,Hyundai,2007,120000,110000,South,Florida,Miami,Petrol,Individual,Manual,Second_Owner,15.3,1341,83.0,115Nm@ 3200rpm,5,Y
714,736,Mahindra,2007,160000,120000,East,Pennsylvania,Philadelphia,Diesel,Individual,Manual,Third_Owner,13.6,2523,63.0,180 Nm at 1440-1500rpm,9,Y
1161,1196,Maruti,2007,95000,70000,South,Tennessee,Collierville,Petrol,Individual,Manual,Second_Owner,19.7,796,46.3,62Nm@ 3000rpm,5,Y
485,500,Honda,2007,350000,90000,West,Washington,Seattle,Petrol,Individual,Automatic,First_Owner,12.9,1799,130.0,172Nm@ 4300rpm,5,Y
825,853,Hyundai,2007,185000,90000,West,California,Los Angeles,Diesel,Individual,Manual,Fourth_Above_Owner,16.8,1493,110.0,"24@ 1,900-2,750(kgm@ rpm)",5,Y
277,288,Mahindra,2007,210000,207890,East,District of Columbia,Washington,Diesel,Individual,Manual,Second_Owner,13.6,2523,63.0,180 Nm at 1440-1500rpm,7,Y
1390,1435,Honda,2007,245000,90000,East,New Hampshire,Hudson,Petrol,Individual,Manual,Third_Owner,13.5,1799,130.0,172Nm@ 4300rpm,5,Y
4,5,Maruti,2007,130000,120000,East,New York,New York City,Petrol,Individual,Manual,First_Owner,16.1,1298,88.2,"11.5@ 4,500(kgm@ rpm)",5,Y
318,331,Toyota,2007,404000,120000,West,California,San Diego,Diesel,Individual,Manual,Third_Owner,12.8,2494,102.0,20.4@ 1400-3400(kgm@ rpm),8,Y
323,336,Maruti,2007,85000,80000,Central,Texas,Dallas,Petrol,Individual,Manual,Second_Owner,18.2,998,67.1,90Nm@ 3500rpm,5,Y
6,7,Maruti,2007,96000,175000,West,California,Los Angeles,LPG,Individual,Manual,First_Owner,17.3,1061,57.5,"7.8@ 4,500(kgm@ rpm)",5,Y
910,939,Maruti,2007,90000,90000,West,Washington,Seattle,Petrol,Individual,Manual,First_Owner,16.1,796,37.0,59Nm@ 2500rpm,4,Y
913,942,Tata,2007,280000,160000,West,California,San Diego,Diesel,Individual,Manual,Second_Owner,13.93,2956,138.1,320Nm@ 1700-2700rpm,7,Y
1884,1941,Maruti,2007,130000,88700,East,New York,White Plains,Petrol,Individual,Manual,Third_Owner,19.7,796,46.3,62Nm@ 3000rpm,5,Y
930,959,Maruti,2007,90000,60000,East,New York,New York City,Petrol,Individual,Manual,Second_Owner,18.2,1061,64.0,84Nm@ 3500rpm,5,Y
804,832,Hyundai,2007,95000,100000,East,New York,New York City,Petrol,Individual,Manual,Second_Owner,17.8,1086,63.0,"9.8@ 3,000(kgm@ rpm)",5,Y
1755,1808,Tata,2007,300000,110000,Central,Illinois,Waukegan,Petrol,Individual,Manual,Second_Owner,12.0,2092,127.0,"20@ 3,750(kgm@ rpm)",7,Y
1754,1807,Maruti,2007,60000,62000,Central,Illinois,West Chicago,Petrol,Individual,Manual,Second_Owner,16.1,796,37.0,59Nm@ 2500rpm,4,Y
233,243,Hyundai,2007,80000,120000,East,Pennsylvania,Philadelphia,Petrol,Individual,Manual,Second_Owner,13.2,1495,94.0,"12.5@ 3,500(kgm@ rpm)",5,Y
1768,1823,Tata,2007,200000,50000,East,Maryland,Camp Springs,Diesel,Individual,Manual,First_Owner,17.88,1396,52.8,85Nm@ 2500rpm,5,Y
1014,1045,Toyota,2007,626000,80000,West,Washington,Issaquah,Diesel,Individual,Manual,Second_Owner,12.8,2494,102.0,20.4@ 1400-3400(kgm@ rpm),7,Y
1339,1382,Maruti,2008,175000,65000,South,Georgia,Augusta,Petrol,Dealer,Manual,Second_Owner,18.9,998,67.1,90Nm@ 3500rpm,5,Y
94,99,Maruti,2008,120000,68000,West,California,Los Angeles,Petrol,Dealer,Manual,Third_Owner,19.7,796,46.3,62Nm@ 3000rpm,5,Y
1277,1316,Honda,2008,375000,90000,West,California,Long Beach,Petrol,Individual,Manual,Third_Owner,13.5,1799,130.0,172Nm@ 4300rpm,5,Y
1312,1355,Tata,2008,150000,120000,East,New York,Holbrook,Diesel,Individual,Manual,Fourth_Above_Owner,11.57,2179,138.1,320Nm@ 1700-2700rpm,7,Y
648,668,Hyundai,2008,275000,98000,East,District of Columbia,Washington,Petrol,Individual,Manual,Third_Owner,20.36,1197,78.9,111.8Nm@ 4000rpm,5,Y
121,127,Maruti,2008,105000,65000,East,Massachusetts,Boston,Petrol,Individual,Manual,Fourth_Above_Owner,19.7,796,46.3,62Nm@ 3000rpm,5,Y
778,806,Honda,2008,150000,70000,East,Massachusetts,Boston,Petrol,Individual,Manual,Third_Owner,17.7,1497,78.0,"12.7@ 2,700(kgm@ rpm)",5,Y
790,818,Maruti,2008,95000,120000,East,New York,New York City,Petrol,Individual,Manual,First_Owner,19.7,796,46.3,62Nm@ 3000rpm,5,Y
994,1025,Tata,2008,175000,120000,Central,Illinois,Chicago,Diesel,Individual,Manual,Third_Owner,16.8,1405,68.0,"13@ 2,500(kgm@ rpm)",5,Y
991,1022,Honda,2008,229999,120000,Central,Illinois,Chicago,Petrol,Individual,Manual,Second_Owner,17.0,1497,118.0,146Nm at 4800 rpm,5,Y
967,997,Tata,2008,100000,40000,West,California,Los Angeles,Diesel,Individual,Manual,First_Owner,16.8,1405,62.0,"12.5@ 2,500(kgm@ rpm)",5,Y
813,841,Tata,2008,270000,110000,Central,Michigan,Detroit,Diesel,Individual,Manual,Third_Owner,14.4,2179,120.0,"25.5@ 1,500-3,000(kgm@ rpm)",7,Y
934,963,Mahindra,2008,305000,219000,East,Pennsylvania,Philadelphia,Diesel,Individual,Manual,Second_Owner,13.6,2523,63.0,180 Nm at 1440-1500rpm,7,Y
932,961,Toyota,2008,330000,193623,East,Pennsylvania,Philadelphia,Diesel,Individual,Manual,Second_Owner,12.8,2494,102.0,20.4@ 1400-3400(kgm@ rpm),8,Y
922,951,Hyundai,2008,220000,85000,West,California,Los Angeles,Diesel,Individual,Manual,Second_Owner,16.8,1493,110.0,"24@ 1,900-2,750(kgm@ rpm)",5,Y
915,944,Maruti,2008,290000,100000,East,Massachusetts,Boston,Diesel,Individual,Manual,Second_Owner,17.8,1248,75.0,190Nm@ 2000rpm,5,Y
755,783,Chevrolet,2008,80000,70000,West,California,San Diego,Petrol,Individual,Manual,Second_Owner,15.26,1150,74.9,110Nm@ 4400rpm,5,Y
683,704,Mahindra,2008,250000,120000,West,California,Los Angeles,Diesel,Individual,Manual,First_Owner,13.6,2523,63.0,180 Nm at 1440-1500rpm,8,Y
1189,1228,Mahindra,2008,190000,120000,Central,Wisconsin,Brookfield,Diesel,Individual,Manual,Second_Owner,13.6,2523,63.0,180 Nm at 1440-1500rpm,7,Y
728,753,Toyota,2008,290000,126000,West,California,Los Angeles,Diesel,Individual,Manual,Third_Owner,12.8,2494,102.0,20.4@ 1400-3400(kgm@ rpm),8,Y
1692,1743,Maruti,2008,110000,80000,Central,Indiana,Anderson,Petrol,Individual,Manual,Second_Owner,19.7,796,46.3,62Nm@ 3000rpm,5,Y
1829,1884,Honda,2008,250000,120000,Central,Indiana,Marion,Petrol,Individual,Manual,Second_Owner,17.7,1497,78.0,"12.7@ 2,700(kgm@ rpm)",5,Y
1600,1650,Hyundai,2008,105000,128000,East,New York,North Babylon,Petrol,Individual,Manual,First_Owner,0.0,1086,62.0,96.1Nm@ 3000rpm,5,Y
479,494,Maruti,2008,160000,123000,West,Washington,Seattle,Petrol,Individual,Manual,Third_Owner,17.5,1298,85.8,114Nm@ 4000rpm,5,Y
1589,1639,Honda,2008,250000,60000,West,Washington,Olympia,Petrol,Individual,Automatic,Third_Owner,20.0,1339,108.5,123Nm@ 1000-2500rpm,5,Y
499,514,Maruti,2008,190000,80000,South,North Carolina,Charlotte,Diesel,Individual,Manual,Second_Owner,19.3,1248,73.9,190Nm@ 2000rpm,5,Y
1555,1604,Hyundai,2008,165000,90000,Central,Oklahoma,Bartlesville,Petrol,Individual,Manual,First_Owner,19.81,1086,68.05,99.04Nm@ 4500rpm,5,Y
270,281,Hyundai,2008,114999,95200,West,Washington,Seattle,Petrol,Individual,Manual,Third_Owner,13.2,1495,94.0,"12.5@ 3,500(kgm@ rpm)",5,Y
346,360,Toyota,2008,325000,80000,East,Pennsylvania,Philadelphia,Diesel,Individual,Manual,Fourth_Above_Owner,12.8,2494,102.0,20.4@ 1400-3400(kgm@ rpm),7,Y
1615,1666,Chevrolet,2008,210000,90000,Central,Texas,San Marcos,Diesel,Individual,Manual,Fourth_Above_Owner,16.52,1991,123.7,305Nm@ 2000rpm,5,Y
241,251,Hyundai,2008,110000,120000,West,California,San Diego,Petrol,Individual,Manual,Second_Owner,14.2,1341,82.9,"11.8@ 3,200(kgm@ rpm)",5,Y
421,436,Toyota,2008,570000,134000,South,Georgia,Atlanta,Diesel,Individual,Manual,Second_Owner,12.8,2494,102.0,20.4@ 1400-3400(kgm@ rpm),7,Y
1709,1761,Hyundai,2008,160000,100000,Central,Indiana,Bloomington,Petrol,Individual,Manual,Fourth_Above_Owner,13.9,1599,103.2,"14.9@ 3,000(kgm@ rpm)",5,Y
1785,1840,Mahindra,2008,290000,120000,Central,Texas,Pasadena,Diesel,Individual,Manual,Second_Owner,12.05,2179,120.0,290Nm@ 1800-2800rpm,8,Y
1801,1856,Tata,2008,70000,100000,Central,Missouri,Clayton,Diesel,Individual,Manual,First_Owner,16.8,1405,62.0,"12.5@ 2,500(kgm@ rpm)",5,Y
1644,1695,Hyundai,2008,120000,120000,East,Pennsylvania,Hanover,Diesel,Individual,Manual,Second_Owner,16.8,1493,110.0,"24@ 1,900-2,750(kgm@ rpm)",5,Y
465,480,Hyundai,2008,229999,50000,South,North Carolina,Charlotte,Petrol,Individual,Manual,First_Owner,19.81,1086,68.05,99.04Nm@ 4500rpm,5,Y
1865,1920,Tata,2008,99000,205000,Central,Minnesota,Maplewood,Diesel,Individual,Manual,Second_Owner,19.09,1396,69.0,135Nm@ 2500rpm,5,Y
1866,1921,Hyundai,2008,215000,70000,Central,Minnesota,Maplewood,Petrol,Individual,Manual,Second_Owner,20.36,1197,78.9,111.8Nm@ 4000rpm,5,Y
1421,1468,Tata,2008,300000,120000,Central,Kansas,Kansas City,Diesel,Individual,Manual,Second_Owner,11.57,2179,138.1,320Nm@ 1700-2700rpm,7,Y
1420,1467,Maruti,2008,120000,40000,Central,Kansas,Kansas City,Petrol,Individual,Manual,First_Owner,18.2,1061,64.0,84Nm@ 3500rpm,5,Y
599,619,Hyundai,2008,135000,80000,East,New York,New York City,Petrol,Individual,Manual,Second_Owner,19.81,1086,68.05,99.04Nm@ 4500rpm,5,Y
328,342,Maruti,2008,170000,120000,South,Florida,Miami,Diesel,Individual,Manual,Third_Owner,17.8,1248,75.0,190Nm@ 2000rpm,5,Y
912,941,Hyundai,2009,280000,120000,East,New York,New York City,Diesel,Individual,Manual,First_Owner,18.1,1493,110.0,"24@ 1,900-2,750(kgm@ rpm)",5,Y
1854,1909,Honda,2009,280000,40000,Central,Texas,Laredo,Petrol,Individual,Automatic,Third_Owner,12.9,1799,130.0,172Nm@ 4300rpm,5,Y
1861,1916,Tata,2009,150000,90000,Central,Illinois,Romeoville,Diesel,Individual,Manual,Second_Owner,13.93,2179,138.1,320Nm@ 1700-2700rpm,7,Y
875,904,Toyota,2009,395000,200000,West,Washington,Seattle,Diesel,Individual,Manual,Third_Owner,12.8,2494,102.0,20.4@ 1400-3400(kgm@ rpm),7,Y
1976,2037,Mahindra,2009,150000,300000,South,Tennessee,Hendersonville,Diesel,Individual,Manual,First_Owner,14.0,2498,112.0,260 Nm at 1800-2200 rpm,7,Y
1831,1886,Maruti,2009,165000,60000,Central,Indiana,Marion,Petrol,Individual,Manual,First_Owner,19.0,998,67.1,90Nm@ 3500rpm,5,Y
